series,data,country,ISO3166,1990,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,49.8610487804878,55.1258780487805,57.4325609756098,57.8338292682927,58.2250243902439,58.6036829268293,58.9708292682927,59.3279512195122,59.6796097560976,60.0282682926829,60.3744634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,71.9573170731707,74.2715365853659,76.2861219512195,76.4702926829268,76.6520731707317,76.8403658536586,77.0369512195122,77.2405853658537,77.4439756097561,77.6404634146342,77.8304634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,66.6945853658537,70.1839024390244,72.5577073170732,72.8983658536585,73.2193170731707,73.5210243902439,73.8040487804878,74.07,74.3240975609756,74.5689512195122,74.8080975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.1383414634146,45.2047804878049,49.0070487804878,49.4357317073171,49.8473902439024,50.2510243902439,50.6541707317073,51.0593170731707,51.464,51.8661707317073,52.2668780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,71.1629512195122,73.3972926829268,74.6181463414634,74.8032195121951,74.9791707317073,75.1470243902439,75.3087804878049,75.4660243902439,75.6218048780488,75.7786585365854,75.9376341463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.5436585365854,73.7558048780488,74.8499024390244,75.0090487804878,75.1662682926829,75.3245609756098,75.4849756097561,75.6490487804878,75.816243902439,75.9860975609756,76.1586097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,67.7478048780488,71.2765853658537,73.5482682926829,73.7646585365854,73.945,74.0958292682927,74.2263414634146,74.3428292682927,74.4520975609756,74.5613658536585,74.6757073170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.3899756097561,73.7206097560976,74.3761951219512,74.526756097561,74.6757317073171,74.8181463414634,74.9535365853659,75.0813902439024,75.205756097561,75.3286585365854,75.4510975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.9946341463415,79.2341463414634,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.2512195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.5682926829269,78.1268292682927,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.3365853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,64.7463658536585,66.758243902439,69.375243902439,69.756512195122,70.0639512195122,70.2936829268293,70.4513170731707,70.5518048780488,70.6239512195122,70.6905853658537,70.7632195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.6306585365854,72.2542926829268,73.8584634146342,74.0594634146342,74.2474390243902,74.4239024390244,74.5923902439024,74.7544146341464,74.9144634146342,75.0735365853659,75.2336585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.507243902439,74.5994878048781,75.5664634146342,75.707756097561,75.847512195122,75.9877804878049,76.1275609756098,76.2678536585366,76.4076341463415,76.5459512195122,76.6832682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,58.4175609756098,65.3479756097561,68.4256341463415,68.8599756097561,69.2778536585366,69.6837804878049,70.0802926829268,70.4719512195122,70.8602682926829,71.245243902439,71.6259024390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,71.1719512195122,73.219512195122,74.1931219512195,74.3564146341464,74.5191951219512,74.6824878048781,74.8452926829268,75.0081463414634,75.1710243902439,75.3339512195122,75.4964146341463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.8365853658537,68.9121951219512,69.4048780487805,70.2034146341464,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9756097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.0519512195122,77.7219512195122,79.380487804878,79.7829268292683,79.6804878048781,79.9829268292683,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,80.5878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,71.2837317073171,68.4188780487805,69.279487804878,69.452,69.5942195121951,69.7030731707317,69.7820487804878,69.8436829268293,69.9051463414634,69.9820487804878,70.0774390243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,53.42,55.188243902439,57.4833902439024,57.8673902439024,58.204512195122,58.4912682926829,58.7297073170732,58.9329024390244,59.1219756097561,59.3120243902439,59.5105853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,..,77.8853658536585,78.8878048780488,78.9341463414634,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,..
